D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_02_767.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_02_767.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_02_767.jpg,0,0.2433104,0,8.835555
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_02_815.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_02_815.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_02_815.jpg,-0.2,0.4683914,0,9.13905
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_02_886.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_02_886.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_02_886.jpg,-0.35,0.6595351,0,9.480751
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_02_958.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_02_958.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_02_958.jpg,-0.5500001,0.898551,0,10.1076
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_029.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_029.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_029.jpg,-0.7,1,0,10.68949
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_099.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_099.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_099.jpg,-0.9000002,1,0,11.45072
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_165.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_165.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_165.jpg,-1,1,0,12.08772
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_232.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_232.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_232.jpg,-1,1,0,12.41833
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_303.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_303.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_303.jpg,0,1,0,13.23418
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_371.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_371.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_371.jpg,0,1,0,13.93129
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_439.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_439.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_439.jpg,0,1,0,14.73798
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_507.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_507.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_507.jpg,0,1,0,15.2255
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_578.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_578.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_578.jpg,0,1,0,16.10469
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_646.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_646.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_646.jpg,0,1,0,16.77798
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_716.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_716.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_716.jpg,0,1,0,17.60152
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_786.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_786.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_786.jpg,-0.15,1,0,18.20329
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_854.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_854.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_854.jpg,-0.35,1,0,18.97929
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_923.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_923.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_923.jpg,0,1,0,19.55764
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_03_993.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_03_993.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_03_993.jpg,0,1,0,20.15178
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_063.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_063.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_063.jpg,0,1,0,20.95561
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_133.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_133.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_133.jpg,-0.05,1,0,21.56717
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_204.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_204.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_204.jpg,-0.25,1,0,22.33388
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_273.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_273.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_273.jpg,-0.4,1,0,22.86127
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_342.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_342.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_342.jpg,-0.6000001,1,0,23.49717
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_414.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_414.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_414.jpg,-0.7500002,1,0,23.92373
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_485.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_485.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_485.jpg,-0.9500002,1,0,24.42345
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_555.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_555.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_555.jpg,0,1,0,25.02304
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_623.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_623.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_623.jpg,0,1,0,25.53796
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_692.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_692.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_692.jpg,0,1,0,26.08907
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_761.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_761.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_761.jpg,0,1,0,26.84049
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_829.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_829.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_829.jpg,0,1,0,27.40482
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_902.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_902.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_902.jpg,0,1,0,28.15331
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_04_968.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_04_968.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_04_968.jpg,0,1,0,28.71097
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_040.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_040.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_040.jpg,0,1,0,29.44937
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_111.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_111.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_111.jpg,0,1,0,29.9998
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_180.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_180.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_180.jpg,0,1,0,30.19054
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_253.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_253.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_253.jpg,-0.05,1,0,30.18985
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_321.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_321.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_321.jpg,-0.25,1,0,30.17698
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_391.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_391.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_391.jpg,0,1,0,30.18254
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_463.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_463.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_463.jpg,0,1,0,30.18959
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_536.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_536.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_536.jpg,0,1,0,30.19037
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_603.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_603.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_603.jpg,-0.1,1,0,30.18916
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_672.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_672.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_672.jpg,-0.25,1,0,30.17711
D:\Projects\Python\Data\IMG\center_2019_03_07_19_53_05_742.jpg,D:\Projects\Python\Data\IMG\left_2019_03_07_19_53_05_742.jpg,D:\Projects\Python\Data\IMG\right_2019_03_07_19_53_05_742.jpg,0,1,0,30.18119
